Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
A1BG,110,32,39,86,83,34,52,138,16
A1CF,28,70,124,135,25,123,81,68,68
A2M,119,78,21,2,121,78,107,35,40
A2ML1,49,75,35,3,130,73,108,36,53
A3GALT2,74,39,109,118,34,4,16,103,118
A4GALT,114,83,26,33,72,66,101,13,42
A4GNT,106,121,18,3,123,71,126,27,57
AAAS,11,125,17,8,112,69,126,29,57
AACS,97,33,79,86,75,55,54,89,8
AADAC,45,63,71,7,46,16,38,132,143
AADAT,92,80,48,39,85,37,120,85,50
AAGAB,75,31,84,95,81,136,47,143,12
AAK1,64,37,91,92,51,143,91,113,129
AAMDC,61,93,115,115,40,147,61,118,102
AAMP,112,100,108,114,30,25,18,91,126
AANAT,53,51,87,21,47,50,1,140,128
AAR2,85,114,31,53,104,133,96,18,33
AARD,27,14,54,90,23,142,90,66,99
AARS1,90,107,49,35,37,20,114,131,120
AARS2,87,112,28,55,102,135,94,18,51
AARSD1,63,50,89,83,52,143,38,55,133
AASDH,59,99,113,37,36,24,14,137,102
AASDHPPT,71,30,83,61,87,3,2,80,140
AASS,85,115,30,39,106,59,139,85,50
AATF,2,11,5,48,11,94,99,108,36
AATK,83,30,50,59,79,17,46,143,14
ABAT,85,80,29,39,106,37,120,6,50
ABCA1,79,45,81,59,99,5,2,80,144
ABCA10,49,67,82,105,71,68,66,31,11
ABCA12,58,46,108,25,91,4,21,94,109
ABCA13,82,42,81,34,33,31,13,83,24
ABCA17P,68,94,103,24,32,11,8,73,146
ABCA2,7,109,8,14,107,80,131,23,91
ABCA3,7,111,9,5,109,87,131,23,91
ABCA4,30,62,109,114,38,93,22,105,36
ABCA5,16,45,82,40,85,53,11,17,129
ABCA6,119,85,33,98,125,64,145,31,41
ABCA7,115,87,22,100,129,75,102,10,38
ABCA8,49,6,38,88,133,66,145,35,8
ABCA9,49,67,78,88,133,66,66,12,11
ABCB1,101,85,22,101,125,41,102,9,38
ABCB10,11,127,32,7,112,85,126,29,57
ABCB11,54,39,60,24,91,19,51,115,113
ABCB4,83,83,58,102,53,122,36,32,8
ABCB5,108,21,40,87,84,55,65,88,11
ABCB6,8,121,17,10,116,83,126,30,86
ABCB7,87,113,31,54,103,134,94,126,52
ABCB8,7,117,12,10,113,86,127,23,89
ABCB9,9,122,19,31,116,72,112,21,86
ABCC1,98,126,12,7,112,69,128,20,84
ABCC10,9,120,17,2,114,86,122,21,90
ABCC11,55,96,120,116,31,4,14,112,125
ABCC12,55,96,120,117,41,2,22,115,125
ABCC13,30,29,119,58,60,17,15,58,102
ABCC2,98,80,32,35,105,58,125,6,52
ABCC3,94,23,47,136,76,39,119,84,4
ABCC4,9,120,16,10,114,83,130,21,86
ABCC5,104,125,36,4,119,76,112,27,60
ABCC6,90,90,49,40,97,38,118,97,22
ABCC8,81,23,81,64,79,36,23,87,141
ABCC9,66,33,75,34,96,40,133,82,27
ABCD1,104,127,32,33,105,63,126,4,57
ABCD2,75,23,51,61,74,60,119,8,6
ABCD3,98,80,32,4,105,58,125,32,52
ABCD4,8,121,17,1,116,72,124,21,86
ABCE1,85,115,30,39,106,20,139,130,49
ABCF1,47,64,102,45,7,101,78,133,31
ABCF2,111,108,101,45,7,100,78,133,32
ABCF3,23,36,127,135,64,127,85,63,92
ABCG1,95,52,77,105,79,17,50,77,144
ABCG2,88,89,50,136,97,30,24,96,27
ABCG4,97,21,86,107,84,56,47,16,11
ABCG5,77,20,72,79,133,62,47,2,8
ABCG8,118,83,40,98,72,66,57,2,43
ABHD1,116,125,25,76,123,85,54,19,8
ABHD10,85,115,30,39,106,59,139,130,50
ABHD11,94,91,47,35,79,60,120,95,1
ABHD12,7,109,10,15,111,86,127,23,91
ABHD12B,70,27,109,113,33,24,52,98,21
ABHD13,101,82,3,101,118,136,119,84,45
ABHD14A,9,120,15,6,111,86,126,21,89
ABHD14A-ACY1,70,91,61,129,31,3,51,100,113
ABHD14B,88,89,50,62,96,40,24,96,20
ABHD15,32,49,80,110,47,48,32,135,12
ABHD15-AS1,71,92,117,60,87,137,86,118,138
ABHD16A,9,117,11,13,113,82,149,21,89
ABHD16B,60,29,108,117,38,24,22,94,125
ABHD17A,38,7,88,92,46,131,64,125,47
ABHD17B,7,117,12,5,114,87,130,25,90
ABHD17C,75,32,41,83,81,56,53,88,2
ABHD18,91,84,47,102,77,60,119,5,44
ABHD2,105,21,54,96,71,41,145,17,43
ABHD3,8,121,17,2,116,84,124,30,86
ABHD4,116,84,38,99,78,65,119,5,44
ABHD5,115,86,27,96,72,42,102,11,40
ABHD6,106,77,35,97,127,76,113,1,55
ABHD8,73,101,91,115,60,139,61,57,103
ABI1,33,15,46,93,46,122,83,52,99
ABI2,14,56,3,79,18,118,146,37,62
ABI3,18,13,58,71,17,117,73,72,71
ABI3BP,53,49,80,82,50,16,3,116,143
ABITRAM,32,3,89,90,55,126,90,51,134
ABL1,55,19,91,68,53,124,89,53,94
ABL2,33,8,46,109,49,132,83,129,127
ABLIM1,33,14,88,108,45,122,84,51,99
ABLIM2,52,5,89,20,47,136,145,135,135
ABLIM3,26,69,56,134,65,123,82,64,98
ABO,110,1,82,17,80,53,48,14,6
ABR,72,45,76,84,89,2,37,112,139
ABRA,64,37,78,83,88,138,90,114,132
ABRACL,57,35,63,18,91,12,31,115,116
ABRAXAS1,61,38,127,117,41,149,22,137,102
ABRAXAS2,36,3,89,89,54,145,30,50,128
ABT1,5,9,4,51,9,90,100,104,34
ABTB1,74,39,76,119,31,29,22,109,114
ABTB2,27,14,53,91,45,125,80,66,100
ACAA1,90,91,49,40,85,38,118,97,22
ACAA2,85,113,30,54,104,59,139,127,52
ACACA,81,105,49,35,95,25,20,90,120
ACACB,52,49,77,85,82,17,32,113,135
ACAD10,11,126,32,8,112,85,125,20,84
ACAD11,39,54,94,72,16,110,67,46,77
ACAD8,97,68,44,105,133,45,55,17,8
ACAD9,87,112,28,55,102,135,94,18,51
ACADL,83,46,63,58,87,18,2,112,140
ACADM,85,115,30,54,104,59,139,127,52
ACADS,97,31,41,64,74,36,47,5,18
ACADSB,92,80,30,39,106,59,118,85,50
ACADVL,85,115,30,54,106,59,139,130,50
ACAN,38,8,78,87,47,47,65,70,134
ACAP1,52,50,91,66,52,137,27,143,136
ACAP2,88,89,48,63,97,30,26,96,27
ACAP3,72,40,76,24,89,8,9,81,113
ACAT1,87,114,28,55,102,135,94,127,51
ACAT2,81,105,125,35,95,32,13,102,19
ACBD3,10,117,12,13,113,84,131,20,84
ACBD4,36,3,89,21,55,136,63,50,133
ACBD5,104,125,36,4,119,64,123,3,56
ACBD6,53,37,66,127,62,141,39,60,95
ACBD7,77,1,84,87,84,50,50,88,11
ACCS,81,105,68,40,29,33,20,101,19
ACCSL,62,51,71,117,92,14,29,140,138
ACD,73,102,69,37,89,139,15,93,118
ACE,75,33,82,105,80,5,52,87,16
ACE2,92,82,33,4,120,60,120,6,1
ACER1,82,44,113,32,31,29,10,73,23
ACER2,73,43,46,66,68,132,58,123,126
ACER3,61,96,122,113,40,147,133,119,103
ACHE,36,2,78,87,84,56,48,124,8
ACIN1,2,65,96,48,10,96,77,106,35
ACKR1,79,20,88,81,132,73,24,36,46
ACKR2,7,117,14,9,114,82,127,21,89
ACKR3,81,89,49,35,96,38,24,96,20
ACKR4,49,74,87,69,130,74,41,36,53
ACLY,111,108,101,122,37,148,114,133,121
ACMSD,53,50,119,57,64,14,29,76,128
ACO1,82,104,75,64,33,31,33,101,110
ACO2,85,115,31,55,104,135,94,127,52
ACOD1,60,105,109,123,30,21,19,92,118
ACOT1,87,114,28,55,102,135,94,127,51
ACOT11,27,14,53,68,45,132,80,66,99
ACOT12,26,14,55,66,65,122,28,52,99
ACOT13,89,105,49,40,95,38,24,97,22
ACOT2,87,114,28,55,102,135,94,127,51
ACOT4,88,105,101,36,129,31,33,100,23
ACOT6,65,52,51,59,84,52,26,124,16
ACOT7,81,105,68,40,95,24,20,99,19
ACOT8,84,47,50,62,96,7,13,101,112
ACOT9,85,80,29,54,106,58,139,6,50
ACOX1,91,82,47,137,77,60,120,84,1
ACOX2,57,35,63,57,86,52,93,111,136
ACOX3,76,50,77,109,51,17,43,77,143
ACOXL,112,18,61,117,42,33,5,75,109
ACP1,80,89,49,35,95,33,20,99,120
ACP2,9,117,12,6,111,82,132,21,89
ACP3,107,123,20,7,122,77,126,31,60
ACP4,53,51,109,114,90,2,8,109,114
ACP5,101,84,42,97,71,65,117,8,41
ACP6,90,90,49,40,85,38,118,85,22
ACP7,117,68,46,103,132,44,54,15,9
ACR,69,40,63,61,93,10,7,141,113
ACRBP,63,49,78,83,86,16,49,141,132
ACRV1,52,52,63,128,50,17,29,135,142
ACSBG1,59,28,121,116,44,24,21,75,126
ACSBG2,58,35,114,30,58,8,3,113,113
ACSF2,98,80,30,54,103,63,125,126,52
ACSF3,85,115,30,39,106,59,139,85,50
ACSL1,102,125,32,3,115,70,109,29,57
ACSL3,10,126,12,13,112,84,127,20,84
ACSL4,102,127,32,3,115,70,126,4,57
ACSL5,99,76,34,33,128,63,116,3,45
ACSL6,52,31,127,58,52,130,29,60,75
ACSM1,77,51,52,19,48,52,32,139,3
ACSM2A,97,41,113,78,49,73,7,126,110
ACSM2B,97,41,113,78,58,73,51,18,141
ACSM3,64,48,74,32,99,1,14,143,140
ACSM4,52,52,74,18,90,2,6,78,139
ACSM5,85,115,30,39,106,59,139,85,50
ACSS1,90,90,30,40,85,38,118,85,22
ACSS2,67,102,113,116,30,24,17,92,111
ACSS3,49,75,73,36,43,28,145,62,66
ACTA1,54,24,61,21,91,128,33,117,93
ACTA2,118,74,47,137,135,131,117,124,9
ACTA2-AS1,23,27,63,127,50,46,6,71,9
ACTB,89,100,50,137,97,130,21,132,112
ACTBL2,67,101,69,82,33,141,21,93,112
ACTC1,2,62,96,46,11,95,98,107,29
ACTG1,50,95,109,125,38,112,135,128,82
ACTG1P14,83,99,64,,93,3,23,110,136
ACTG1P20,55,39,78,29,33,1,90,112,139
ACTG2,82,43,69,32,33,31,11,83,24
ACTL6A,39,60,95,75,13,98,68,44,73
ACTL6B,31,71,100,113,69,109,134,120,80
ACTL7A,58,40,61,124,57,9,43,109,113
ACTL7B,55,27,126,16,91,13,39,116,143
ACTL8,61,93,111,119,44,26,25,93,126
ACTL9,19,40,122,129,64,15,86,58,108
ACTN1,88,42,50,102,96,9,33,102,112
ACTN2,20,14,55,56,61,123,145,65,100
ACTN3,28,16,56,71,22,124,80,69,68
ACTN4,89,89,49,136,97,4,12,99,19
ACTR10,57,38,62,127,56,144,35,136,107
ACTR1A,111,108,125,122,39,148,115,132,123
ACTR1B,68,100,70,26,33,27,14,94,110
ACTR2,89,107,49,62,95,22,13,90,20
ACTR3,68,93,73,85,34,147,87,122,125
ACTR3B,68,42,69,28,33,25,21,103,23
ACTR3C,82,33,74,18,79,35,2,77,110
ACTR5,44,54,98,72,15,112,67,49,79
ACTR6,44,54,98,72,16,113,142,49,79
ACTR8,44,54,98,72,67,113,142,49,79
ACTRT1,72,104,73,117,34,8,1,83,146
ACTRT2,83,89,51,26,98,31,12,82,26
ACTRT3,5,107,52,117,39,30,11,120,22
ACVR1,105,123,21,95,121,73,111,31,53
ACVR1B,3,116,16,10,111,89,129,19,91
ACVR1C,118,67,25,109,72,45,101,12,7
ACVR2A,3,116,13,5,111,89,132,19,91
ACVR2B,3,116,16,1,110,88,129,19,58
ACVRL1,96,68,86,94,75,43,26,13,9
ACY1,64,51,64,61,51,15,52,116,132
ACY3,16,12,54,92,21,132,88,70,71
ACYP1,59,102,110,128,28,114,9,94,23
ACYP2,65,52,77,17,90,3,51,110,138
ADA,88,91,50,40,97,38,12,97,22
ADA2,72,41,121,129,33,147,6,58,144
ADAD2,63,44,65,23,86,3,2,78,146
ADAL,72,44,63,29,34,1,9,79,138
ADAM10,7,111,9,15,109,80,131,23,91
ADAM11,105,78,37,2,121,75,102,33,39
ADAM12,15,13,58,80,17,121,84,38,69
ADAM15,120,75,21,131,121,74,104,35,48
ADAM17,107,122,17,8,117,72,124,31,58
ADAM18,115,86,42,99,125,68,117,11,45
ADAM19,119,123,35,1,122,78,105,35,53
ADAM1A,33,67,45,99,84,62,58,9,45
ADAM2,115,86,27,96,124,67,105,10,42
ADAM20,80,27,,57,56,65,2,130,121
ADAM20P1,89,35,62,,50,5,39,130,30
ADAM21,3,116,13,15,111,87,129,19,90
ADAM22,114,86,27,97,124,66,103,12,7
ADAM23,108,68,39,101,133,53,55,16,6
ADAM28,108,1,67,84,47,56,44,75,2
ADAM29,70,43,122,115,50,148,16,90,27
ADAM30,107,122,19,5,117,83,122,28,58
ADAM32,120,86,23,95,124,67,111,12,39
ADAM33,7,116,9,14,111,87,131,23,90
ADAM5,69,6,60,61,86,5,8,79,144
ADAM7,116,83,47,103,125,36,117,9,38
ADAM8,64,48,42,83,86,52,48,77,12
ADAM9,3,110,8,11,109,80,131,19,91
ADAMTS1,119,75,37,1,122,73,102,35,48
ADAMTS10,73,40,76,29,31,1,10,74,145
ADAMTS12,120,74,25,95,121,42,105,125,48
ADAMTS13,38,66,84,94,46,142,88,125,127
ADAMTS14,120,74,25,100,134,41,50,16,42
ADAMTS15,118,68,39,107,85,45,55,88,8
ADAMTS16,115,57,75,37,28,39,15,5,17
ADAMTS17,119,78,21,131,121,75,105,33,53
ADAMTS18,32,41,81,62,51,34,43,143,140
ADAMTS19,77,21,63,88,83,36,38,94,146
ADAMTS2,3,110,9,14,109,80,132,19,91
ADAMTS20,69,112,63,103,32,2,8,75,114
ADAMTS3,82,45,65,64,99,40,24,82,122
ADAMTS4,119,75,35,131,122,74,111,35,53
ADAMTS5,108,62,63,30,79,2,137,5,119
ADAMTS6,71,52,60,32,89,1,51,79,138
ADAMTS7,3,110,13,15,110,80,129,19,91
ADAMTS9,69,4,64,85,64,136,115,56,133
ADAMTS9-AS2,25,66,,113,131,89,70,36,37
ADAMTSL1,110,50,82,104,47,17,38,129,133
ADAMTSL2,16,15,89,93,63,128,64,70,92
ADAMTSL3,15,13,57,92,17,121,79,67,71
ADAMTSL4,12,55,3,79,18,119,144,39,61
ADAMTSL5,35,15,53,90,23,132,88,51,99
ADAP1,58,35,63,18,90,10,7,137,114
ADAP2,83,45,74,61,86,1,52,76,144
ADAR,48,65,97,44,4,101,78,106,31
ADARB1,5,9,4,51,9,90,100,104,34
ADARB2,60,97,109,123,44,23,17,93,126
ADARB2-AS1,81,43,109,119,36,4,12,111,112
ADAT1,72,39,61,28,32,10,7,73,113
ADAT2,58,41,63,32,36,10,43,112,141
ADAT3,54,36,72,129,59,144,93,58,93
ADCK1,11,127,32,33,115,84,126,20,57
ADCK2,98,127,32,137,105,69,125,4,57
ADCK5,84,91,50,35,96,40,24,95,20
ADCY1,52,34,62,84,50,17,39,142,131
ADCY10,112,92,112,123,38,100,18,132,122
ADCY2,113,85,44,109,78,61,57,9,4
ADCY3,7,117,11,9,114,89,132,23,90
ADCY4,21,5,100,124,24,126,81,63,97
ADCY5,97,84,38,103,76,60,57,5,4
ADCY6,8,118,17,9,116,83,122,28,86
ADCY7,97,21,41,88,80,5,52,87,16
ADCY8,101,87,23,98,128,65,106,8,45
ADCY9,6,111,8,11,108,81,147,22,87
ADCYAP1,34,6,86,90,45,50,40,139,129
ADCYAP1R1,32,85,86,86,84,44,55,17,4
ADD1,97,67,45,95,71,48,103,88,7
ADD2,100,74,21,95,129,43,105,12,40
ADD3,103,123,37,1,119,75,112,1,55
ADGB,31,94,111,120,38,23,18,93,124
ADGRA2,110,6,91,82,47,56,63,124,127
ADGRA3,105,77,37,2,127,76,111,31,42
ADGRB1,117,66,25,111,134,46,144,125,47
ADGRB2,33,8,78,23,47,17,80,123,128
ADGRB3,117,84,43,92,72,44,66,142,41
ADGRD1,65,45,63,32,89,17,66,76,146
ADGRE2,102,120,17,8,112,84,121,30,85
ADGRE4P,107,122,19,9,123,71,121,31,60
ADGRE5,6,111,8,12,108,79,147,22,87
ADGRF1,3,116,13,14,111,87,121,19,90
ADGRF2,74,,,,,38,20,73,22
ADGRF3,79,30,81,59,101,7,52,80,26
ADGRF4,12,48,87,23,64,100,31,53,133
ADGRF5,22,29,121,116,41,12,61,118,126
ADGRG1,3,110,9,14,111,80,132,19,91
ADGRG2,117,68,39,83,75,45,55,17,9
ADGRG3,105,76,37,33,129,77,110,3,56
ADGRG4,51,25,126,128,62,141,93,60,69
ADGRG5,7,109,9,14,109,80,148,23,88
ADGRG6,8,121,16,10,116,83,121,21,86
ADGRG7,97,33,41,103,80,57,59,89,4
ADGRL1,9,117,12,6,111,82,131,23,90
ADGRL1-AS1,61,102,121,128,28,18,,103,139
ADGRL2,102,122,14,10,116,72,122,28,58
ADGRL3,102,125,19,33,119,71,123,26,57
ADGRL4,111,47,72,80,86,14,147,89,29
ADGRV1,3,119,20,10,110,89,112,19,58
ADH1A,49,33,52,40,76,54,54,17,2
ADH1B,49,49,82,40,84,49,54,124,10
ADH1C,49,6,40,98,49,43,54,123,11
ADH4,60,102,109,38,44,9,17,73,118
ADH5,82,42,70,32,33,4,9,101,25
ADH6,59,101,113,118,43,26,23,109,108
ADH7,63,44,81,62,100,31,12,77,26
ADHFE1,118,66,21,107,127,43,104,2,11
ADI1,88,47,52,63,79,30,45,95,17
ADIPOQ,7,111,9,15,109,80,149,23,88
ADIPOR1,11,121,17,9,116,83,122,30,85
ADIPOR2,75,21,39,104,75,54,57,88,9
ADIRF,75,1,81,104,71,74,118,15,22
ADK,92,91,48,40,97,37,20,97,22
ADM,109,42,46,105,51,53,46,6,111
ADM2,105,31,84,87,78,58,58,3,6
ADM5,2,100,70,118,3,91,8,37,119
ADNP,39,60,95,76,16,98,75,44,73
ADNP2,44,54,99,112,16,113,142,49,79
ADO,19,5,54,56,55,136,93,52,116
ADORA1,97,21,85,89,84,56,54,89,11
ADORA2A,96,84,41,83,74,57,47,5,6
ADORA2B,102,121,19,2,118,77,122,27,57
ADORA3,116,83,26,107,73,44,57,16,42
ADPGK,9,117,12,6,114,86,127,21,86
ADPGK-AS1,93,63,92,19,80,99,26,116,21
ADPRH,74,100,113,118,44,2,17,75,126
ADPRM,66,42,105,118,42,23,15,92,119
ADPRS,89,105,50,40,95,40,20,97,20
ADRA1A,115,76,21,133,126,68,108,10,38
ADRA1B,75,32,83,64,81,34,47,89,16
ADRA1D,77,1,85,89,47,52,83,77,10
ADRA2A,75,22,40,94,84,49,64,88,11
ADRA2B,76,52,86,87,83,17,65,141,143
ADRA2C,35,14,67,58,63,142,92,66,100
ADRB1,34,6,91,82,47,48,80,124,134
ADRB2,98,127,32,8,112,69,125,4,84
ADRB3,110,52,64,93,47,53,33,142,13
ADRM1,90,107,101,38,37,20,114,131,120
ADSL,81,104,68,63,94,24,13,90,112
ADSS1,59,98,61,118,58,9,20,94,24
ADSS2,90,107,49,39,95,20,118,99,22
ADTRP,91,1,81,103,75,52,58,89,6
AEBP1,36,1,122,19,88,19,38,56,93
AEBP2,25,25,105,126,69,130,134,120,83
AEN,17,70,1,74,25,116,72,68,68
AFAP1,82,101,51,88,96,24,9,103,145
AFAP1-AS1,49,89,78,18,31,31,93,82,25
AFAP1L1,62,35,65,19,92,14,37,114,132
AFAP1L2,62,34,78,22,87,136,31,114,132
AFD1,78,30,81,88,100,34,50,89,14
AFDN,49,13,24,79,20,119,146,71,69
AFDN-DT,79,98,70,23,31,18,2,94,23
AFF1,29,73,105,113,70,112,136,121,83
AFF2,54,71,116,125,99,11,35,137,114
AFF3,73,98,117,18,36,9,34,73,115
AFF4,43,63,98,72,15,103,67,40,78
AFG1L,81,89,49,40,95,40,20,98,20
AFG3L1P,59,99,114,30,32,8,14,79,138
AFG3L2,87,113,31,55,103,134,94,127,52
AFM,77,52,81,86,83,19,52,141,13
AFMID,72,47,126,32,89,6,43,73,24
AFP,70,41,61,129,87,11,14,111,115
AFTPH,95,32,38,101,71,50,103,87,11
AGA,91,82,33,137,77,65,120,6,45
AGAP1,49,13,24,108,20,121,146,71,69
AGAP10P,82,82,114,61,87,1,118,78,142
AGAP11,57,42,74,32,34,31,12,79,139
AGAP14P,52,46,59,23,87,1,1,112,133
AGAP2,77,1,85,87,83,17,62,139,10
AGAP3,51,36,66,66,64,126,90,53,92
AGAP4,73,42,113,28,34,4,10,81,23
AGAP5,65,45,77,17,89,31,11,78,141
AGAP6,31,106,2,84,43,30,64,51,47
AGAP7P,82,41,63,17,90,1,13,110,141
AGAP9,52,6,77,19,86,17,48,56,134
AGBL1,112,94,110,114,38,23,25,93,124
AGBL2,56,27,127,36,41,8,9,109,113
AGBL3,17,92,102,119,39,105,17,121,32
AGBL4,52,44,63,125,91,140,34,116,137
AGBL5,34,1,87,109,47,48,33,114,134
AGER,91,21,41,109,79,62,59,5,2
AGFG1,91,67,26,95,71,49,103,16,8
AGFG2,64,52,78,83,86,17,41,143,136
AGGF1,24,25,123,113,69,108,61,61,97
AGK,93,82,33,137,120,60,116,6,1
AGL,81,105,68,63,94,31,13,96,19
AGMAT,82,104,68,64,99,1,10,81,144
AGMO,38,55,39,136,35,65,117,9,41
AGO1,48,61,95,47,1,96,74,42,74
AGO2,39,60,96,75,11,95,68,43,73
AGO3,50,72,104,41,6,105,142,128,75
AGO4,111,108,101,45,39,100,114,132,121
AGPAT1,3,110,9,11,109,80,127,19,90
AGPAT2,11,120,15,3,112,84,128,20,84
AGPAT3,7,117,12,6,112,86,149,24,89
AGPAT4,7,109,10,13,108,80,149,22,88
AGPAT4-IT1,19,49,114,59,81,18,11,87,
AGPAT5,11,127,15,8,112,84,126,20,85
AGPS,92,91,29,54,106,37,120,85,22
AGR2,85,115,30,55,104,59,139,130,52
AGR3,114,67,27,96,126,41,102,13,42
AGRN,120,67,42,137,72,44,119,14,6
AGRP,97,66,86,100,133,55,65,15,9
AGT,113,83,38,101,71,62,58,9,2
AGTPBP1,22,96,122,27,40,147,61,119,97
AGTR1,105,77,36,33,127,78,111,13,56
AGTR2,32,2,80,85,47,48,88,134,12
AGTRAP,11,126,15,8,112,84,128,29,85
AGXT,15,13,58,81,17,120,84,38,69
AGXT2,32,81,48,38,86,56,6,6,114
AHCTF1,93,81,47,99,77,60,116,84,45
AHCTF1P1,80,37,77,126,91,17,39,,116
AHCY,111,107,101,35,37,20,115,90,119
AHCYL1,74,27,119,60,91,123,93,121,92
AHCYL2,23,17,124,65,60,109,81,61,100
AHDC1,25,73,105,113,68,108,135,120,97
AHI1,51,17,66,58,64,144,82,57,92
AHNAK,80,106,49,38,37,23,115,90,117
AHNAK2,101,87,34,132,129,41,102,8,38
AHR,30,73,105,113,70,107,135,121,83
AHRR,59,28,61,128,57,139,61,109,114
AHSA1,111,108,101,49,7,100,96,131,30
AHSA2P,62,46,59,58,91,13,43,115,137
AHSG,116,84,42,137,125,61,117,5,44
AHSP,62,71,78,73,62,137,5,57,94
AICDA,50,92,112,42,6,105,140,132,123
AIDA,70,35,71,30,50,139,34,113,136
AIF1,61,94,121,82,40,25,133,93,103
AIF1L,93,23,47,99,76,60,59,5,5
AIFM1,87,113,31,55,103,134,94,127,52
AIFM2,110,49,71,59,84,17,48,142,134
AIFM3,84,43,51,17,101,7,52,82,146
AIG1,7,109,11,13,113,81,127,23,89
AIM2,43,54,98,43,15,102,67,40,78
AIMP1,4,65,7,49,10,101,77,106,30
AIMP2,48,64,102,44,5,104,78,42,32
AIP,79,52,77,85,83,136,37,111,143
AIPL1,56,25,66,124,60,127,86,54,106
AIRE,112,92,110,37,42,25,115,122,123
AIRN,111,6,76,83,91,3,43,77,109
AJAP1,110,1,74,19,87,60,31,139,110
AJM1,62,35,78,,90,3,38,109,140
AJUBA,24,69,56,74,24,116,136,62,66
AK1,89,89,49,40,95,40,20,99,20
AK2,85,115,30,54,104,59,139,127,52
AK3,85,115,30,54,104,59,139,130,50
AK4,87,114,28,55,102,135,94,127,52
AK4P1,73,41,71,118,44,16,8,73,144
AK5,22,28,126,125,41,149,4,113,130
AK6,88,89,69,34,96,40,24,96,27
AK7,61,97,108,116,30,27,21,74,126
AK8,19,17,124,135,24,127,86,54,96
AK9,57,41,63,18,32,9,36,115,105
AKAIN1,16,3,128,,63,137,31,51,94
AKAP1,98,127,32,13,105,63,125,32,57
AKAP10,97,21,43,94,71,49,57,16,11
AKAP11,32,49,78,82,88,138,63,113,132
AKAP12,93,87,34,133,128,41,111,8,38
AKAP13,74,38,63,56,57,146,93,137,93
AKAP14,16,18,90,90,47,142,62,51,134
AKAP17A,45,63,102,44,1,104,76,42,74
AKAP3,15,7,54,92,46,125,27,51,127
AKAP4,35,7,54,66,48,146,27,70,127
AKAP5,113,68,42,106,124,44,105,13,7
AKAP6,63,50,78,58,92,14,80,116,133
AKAP7,55,40,120,121,43,147,21,118,109
AKAP8,48,63,102,43,1,104,76,42,74
AKAP8L,44,54,98,112,67,113,138,49,79
AKAP9,17,57,1,74,25,115,143,47,64
AKIP1,61,29,114,124,41,149,61,117,105
AKIRIN1,81,100,75,123,33,4,13,101,24
AKIRIN2,74,28,72,112,61,146,3,118,114
AKNA,30,28,115,113,62,147,5,119,124
AKNAD1,33,3,91,20,54,55,29,135,133
AKR1A1,90,90,50,39,95,38,118,97,22
AKR1B1,85,90,29,39,106,59,139,85,50
AKR1B10,117,21,38,136,72,62,45,14,1
AKR1B15,90,90,50,40,97,38,118,97,22
AKR1C1,109,39,64,38,46,47,8,82,16
AKR1C2,95,43,81,40,79,52,24,86,4
AKR1C3,58,93,121,38,91,136,14,75,144
AKR1C4,77,41,64,40,81,49,54,89,2
AKR1C8,53,37,126,113,56,138,27,56,
AKR1D1,108,46,78,40,79,55,46,89,2
AKR7A2,74,103,113,118,36,27,14,94,110
AKR7A3,57,40,77,61,91,18,1,112,137
AKR7L,46,72,104,43,3,106,76,128,75
AKT1,21,19,67,81,55,117,82,61,99
AKT1S1,57,27,72,66,56,138,31,57,131
AKT2,110,18,46,109,48,47,64,129,127
AKT3,65,46,79,82,86,14,40,115,143
AKTIP,81,103,69,38,33,24,13,75,111
ALAD,78,43,85,136,81,19,46,83,18
ALAS1,85,115,31,39,104,59,139,130,52
ALAS2,70,45,63,124,53,7,2,143,140
ALB,38,66,27,99,132,74,57,123,11
ALCAM,102,125,19,3,117,77,124,26,57
ALDH16A1,88,104,69,62,94,4,12,96,25
ALDH18A1,111,107,101,38,37,20,114,131,119
ALDH1A1,114,68,38,102,72,62,59,16,44
ALDH1A2,116,18,39,101,72,53,53,14,3
ALDH1A3,117,66,25,107,131,45,56,124,9
ALDH1B1,85,115,30,39,106,59,139,130,50
ALDH1L1,84,42,81,36,101,31,12,82,144
ALDH1L2,88,89,49,63,97,30,20,96,20
ALDH2,85,115,31,54,106,59,139,130,52
ALDH3A1,49,74,26,137,132,41,119,125,43
ALDH3A2,10,126,10,12,113,85,127,20,84
ALDH3B1,49,66,25,108,132,131,103,125,47
ALDH3B2,116,84,42,102,78,60,119,5,5
ALDH4A1,87,115,30,55,103,134,94,127,52
ALDH5A1,85,90,49,39,106,38,118,85,22
ALDH6A1,92,80,49,39,85,37,120,85,22
ALDH7A1,85,90,49,39,106,38,139,85,49
ALDH8A1,81,104,113,34,33,33,13,96,25
ALDH9A1,88,91,50,40,97,30,24,97,20
ALDOA,85,115,30,39,106,38,139,130,49
ALDOB,34,31,78,59,47,136,36,138,131
ALDOC,85,90,29,39,106,38,118,85,22
ALG1,93,82,47,98,97,60,119,84,1
ALG10,7,109,10,7,113,82,149,25,89
ALG10B,116,81,44,102,78,60,117,8,44
